Tipo	Número_de_parafusos_utilizados	Custo_de_fabricação_(em_reais)
B	11	153,7
B	12	163,7
B	12	140,0
B	14	155,2
C	15	155,8
C	15	162,8
B	10	154,7
C	14	149,1
B	11	169,7
C	13	161,4
A	15	142,7
B	12	149,0
A	16	152,8
B	12	151,3
B	12	139,3
A	14	165,9
B	12	154,6
C	13	138,7
A	14	166,0
B	15	156,1
A	15	151,7
B	15	153,2
B	15	163,1
A	11	141,8
A	16	140,4
A	12	132,2
B	12	152,3
C	15	131,7
A	15	173,2
B	16	145,5
B	11	158,9
B	15	157,4
C	14	165,3
A	13	143,7
B	10	157,1
A	13	138,5
A	15	163,8
C	16	153,2
B	13	145,6
A	11	150,7
A	11	133,2
B	11	154,4
C	12	144,6
B	11	139,3
A	12	147,8
B	15	165,1
A	15	135,7
B	11	151,9
C	11	146,0
B	12	153,5
